N_MAX,dimension,bucket,delta_ratio
25000,t_bin,0,0.07720847548928367
25000,t_bin,1,0.06909130790578089
25000,t_bin,2,0.05707091391884944
25000,t_bin,3,0.10290732863077112
25000,t_bin,4,0.051738503315182705
25000,t_bin,5,0.05676171520054352
25000,t_bin,6,0.07916525714715394
25000,t_bin,7,0.06714366398916738
25000,t_bin,8,0.06438567462562839
25000,t_bin,9,0.08818580860863845
25000,side_of_band,left_of_band,0.07150888173506198
25000,side_of_band,right_of_band,0.07119410542784288
25000,near_low_flag,False,0.07119410542784288
25000,near_low_flag,True,0.07150888173506198
50000,t_bin,0,0.05689379250360149
50000,t_bin,1,0.05782464024597833
50000,t_bin,2,0.04506023346068111
50000,t_bin,3,0.0642511400023853
50000,t_bin,4,0.0361818084027723
50000,t_bin,5,0.038525495056336734
50000,t_bin,6,0.053209489299769874
50000,t_bin,7,0.046056011721297585
50000,t_bin,8,0.05567925585258782
50000,t_bin,9,0.05827114491753771
50000,side_of_band,left_of_band,0.05191543935407039
50000,side_of_band,right_of_band,0.050513040947606
50000,near_low_flag,False,0.050513040947606
50000,near_low_flag,True,0.05191543935407039
100000,t_bin,0,0.038639771682227764
100000,t_bin,1,0.03654593393509353
100000,t_bin,2,0.03382260474232823
100000,t_bin,3,0.04250010254269676
100000,t_bin,4,0.027367109231017928
100000,t_bin,5,0.02855801060665053
100000,t_bin,6,0.03702757370818088
100000,t_bin,7,0.0299995703335576
100000,t_bin,8,0.04161068981604488
100000,t_bin,9,0.033411109748586076
100000,side_of_band,left_of_band,0.035712162490845856
100000,side_of_band,right_of_band,0.034194667191483674
100000,near_low_flag,False,0.034194667191483674
100000,near_low_flag,True,0.035712162490845856
250000,t_bin,0,0.024974251073619724
250000,t_bin,1,0.022380560398974847
250000,t_bin,2,0.01874086892317539
250000,t_bin,3,0.024714737395891362
250000,t_bin,4,0.019740614667641987
250000,t_bin,5,0.018297915465986136
250000,t_bin,6,0.024344430400110362
250000,t_bin,7,0.019948883027541164
250000,t_bin,8,0.024765026716748073
250000,t_bin,9,0.02103410290865737
250000,side_of_band,left_of_band,0.022078480148217894
250000,side_of_band,right_of_band,0.02168736475680122
250000,near_low_flag,False,0.02168736475680122
250000,near_low_flag,True,0.022078480148217894
